Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1,Player Reference,Season,League
Jacque Vaughn,PG,32,SAS,74,1139,0.428,12.4,0.965,0.29,0.099,0.078,0.498,0.035,0.432,0.598,0.179,0.364,0.397,0.3,0.458,0.667,0.0,0,0.5,0.4,1,0,vaughja01,2007-2008,NBA
Charlie Villanueva,PF,23,MIL,76,1829,0.435,11.6,0.773,0.291,0.22,0.127,0.135,0.227,0.475,0.603,0.413,0.359,0.409,0.297,0.592,0.982,0.06,46,0.097,0.222,1,0,villach01,2007-2008,NBA
Marcus Vinicius,SF,23,NOH,13,69,0.45,18.6,0.4,0.2,0.0,0.05,0.15,0.6,0.5,0.75,,0.0,0.333,0.417,1.0,1.0,0.15,3,0.25,1.0,0,0,vincima01,2007-2008,NBA
Jake Voskuhl,C,30,MIL,44,386,0.463,6.5,1.0,0.513,0.163,0.15,0.175,0.0,0.463,0.585,0.308,0.25,0.429,,0.757,,0.1,8,,,0,0,voskuja01,2007-2008,NBA
Sasha Vujačić,SG,23,LAL,72,1279,0.454,20.1,0.44,0.116,0.01,0.035,0.278,0.56,0.476,0.607,0.4,0.235,0.455,0.437,0.782,0.966,0.002,1,0.315,0.459,2,0,vujacsa01,2007-2008,NBA
Dwyane Wade*,SG,26,MIA,51,1954,0.469,11.5,0.918,0.331,0.094,0.137,0.356,0.082,0.485,0.655,0.443,0.406,0.368,0.286,0.283,0.455,0.046,39,0.156,0.417,3,0,wadedw01,2007-2008,NBA
Von Wafer,SG,22,TOT,29,154,0.279,17.3,0.574,0.23,0.049,0.033,0.262,0.426,0.371,0.429,0.667,0.0,0.313,0.154,0.538,0.5,0.016,1,0.269,0.143,1,0,wafervo01,2007-2008,NBA
Von Wafer,SG,22,DEN,21,90,0.263,16.9,0.605,0.263,0.053,0.026,0.263,0.395,0.391,0.4,0.5,0.0,0.4,0.067,0.556,0.0,0.026,1,0.267,0.0,1,0,wafervo01,2007-2008,NBA
Von Wafer,SG,22,POR,8,64,0.304,18.1,0.522,0.174,0.043,0.043,0.261,0.478,0.333,0.5,1.0,0.0,0.167,0.273,0.5,0.667,0.0,0,0.273,0.333,0,0,wafervo01,2007-2008,NBA
Antoine Walker,PF,31,MIN,46,892,0.363,14.6,0.499,0.277,0.163,0.037,0.021,0.501,0.401,0.519,0.262,0.071,0.5,0.324,0.253,0.967,0.003,1,0.09,0.353,0,0,walkean02,2007-2008,NBA
Ben Wallace*,C-PF,33,TOT,72,2205,0.392,3.8,0.989,0.656,0.199,0.099,0.034,0.011,0.397,0.506,0.171,0.229,0.083,0.0,0.688,,0.196,52,0.25,0.0,1,0,wallabe01,2007-2008,NBA
Ben Wallace*,C,33,CHI,50,1627,0.373,4.2,0.985,0.635,0.196,0.111,0.044,0.015,0.378,0.483,0.17,0.267,0.083,0.0,0.683,,0.173,38,0.25,0.0,1,0,wallabe01,2007-2008,NBA
Ben Wallace*,PF,33,CLE,22,578,0.457,2.5,1.0,0.728,0.21,0.062,0.0,0.0,0.457,0.576,0.176,0.0,,,0.703,,0.272,14,,,0,0,wallabe01,2007-2008,NBA
Gerald Wallace,PF,25,CHA,62,2376,0.449,10.8,0.757,0.471,0.045,0.024,0.216,0.243,0.491,0.57,0.317,0.273,0.378,0.321,0.499,0.958,0.083,70,0.407,0.278,1,0,wallage01,2007-2008,NBA
Rasheed Wallace,C,33,DET,77,2346,0.432,16.2,0.638,0.132,0.125,0.21,0.17,0.362,0.476,0.661,0.394,0.421,0.459,0.356,0.576,0.973,0.036,27,0.102,0.281,1,0,wallara01,2007-2008,NBA
Luke Walton,SF,27,LAL,74,1729,0.45,11.0,0.824,0.331,0.192,0.105,0.197,0.176,0.475,0.627,0.402,0.36,0.351,0.333,0.658,0.929,0.025,12,0.417,0.314,1,0,waltolu01,2007-2008,NBA
Hakim Warrick,PF,25,MEM,75,1754,0.502,10.7,0.926,0.354,0.124,0.121,0.329,0.074,0.521,0.736,0.407,0.392,0.377,0.271,0.641,0.923,0.098,61,0.208,0.1,1,0,warriha01,2007-2008,NBA
Darius Washington,SG,22,SAS,18,146,0.438,13.6,0.75,0.292,0.146,0.063,0.25,0.25,0.472,0.786,0.143,0.667,0.25,0.333,0.412,0.5,0.021,0,0.083,1.0,0,0,washida01,2007-2008,NBA
Darryl Watkins,C,23,SAC,9,71,0.333,8.5,1.0,0.2,0.267,0.533,0.0,0.0,0.333,1.0,0.25,0.125,,,0.8,,0.133,2,,,0,0,watkida01,2007-2008,NBA
C.J. Watson,PG,23,GSW,32,368,0.426,14.4,0.743,0.238,0.099,0.139,0.267,0.257,0.453,0.542,0.1,0.571,0.444,0.346,0.382,0.889,0.0,0,0.308,0.5,0,0,watsocj01,2007-2008,NBA
Earl Watson,PG,28,SEA,78,2269,0.454,13.5,0.823,0.25,0.118,0.095,0.36,0.177,0.472,0.551,0.375,0.394,0.468,0.371,0.159,0.816,0.001,1,0.167,0.455,0,0,watsoea01,2007-2008,NBA
Chris Webber*,PF,34,GSW,9,126,0.484,12.0,1.0,0.226,0.161,0.129,0.484,0.0,0.484,0.714,0.2,0.25,0.533,,0.867,,0.032,1,,,0,0,webbech01,2007-2008,NBA
Martell Webster,SF,21,POR,75,2132,0.422,18.2,0.517,0.162,0.04,0.061,0.255,0.483,0.454,0.575,0.5,0.375,0.389,0.388,0.656,0.959,0.05,26,0.438,0.36,6,0,webstma02,2007-2008,NBA
Bonzi Wells,SG,31,TOT,73,1562,0.443,9.0,0.912,0.478,0.09,0.104,0.241,0.088,0.462,0.607,0.275,0.254,0.336,0.24,0.671,0.917,0.09,47,0.56,0.321,3,0,wellsbo01,2007-2008,NBA
Bonzi Wells,SG,31,HOU,51,1124,0.425,9.1,0.908,0.495,0.075,0.095,0.243,0.092,0.447,0.583,0.161,0.256,0.33,0.211,0.659,0.875,0.068,26,0.5,0.316,3,0,wellsbo01,2007-2008,NBA
Bonzi Wells,SG,31,NOH,22,438,0.49,8.9,0.924,0.433,0.127,0.127,0.236,0.076,0.503,0.676,0.45,0.25,0.351,0.333,0.699,1.0,0.146,21,0.75,0.333,0,0,wellsbo01,2007-2008,NBA
David West,PF,27,NOH,76,2870,0.482,9.9,0.981,0.299,0.204,0.187,0.291,0.019,0.487,0.582,0.432,0.422,0.468,0.24,0.567,1.0,0.045,52,0.12,0.333,1,0,westda01,2007-2008,NBA
Delonte West,PG,24,TOT,61,1533,0.413,13.7,0.716,0.265,0.128,0.084,0.238,0.284,0.435,0.492,0.344,0.425,0.425,0.356,0.236,0.729,0.023,8,0.311,0.262,1,0,westde01,2007-2008,NBA
Delonte West,PG,24,SEA,35,727,0.388,13.3,0.776,0.256,0.14,0.088,0.292,0.224,0.402,0.406,0.286,0.5,0.425,0.339,0.154,0.474,0.028,4,0.232,0.231,1,0,westde01,2007-2008,NBA
Delonte West,PG,24,CLE,26,806,0.44,14.1,0.649,0.276,0.116,0.08,0.178,0.351,0.479,0.581,0.423,0.333,0.425,0.367,0.329,0.897,0.018,4,0.367,0.276,0,0,westde01,2007-2008,NBA
Mario West,SG,23,ATL,64,269,0.429,6.1,0.918,0.735,0.102,0.02,0.061,0.082,0.467,0.5,0.4,0.0,0.333,0.0,0.571,,0.143,6,0.25,0.0,3,0,westma02,2007-2008,NBA
Chris Wilcox,PF,25,SEA,62,1739,0.524,4.7,0.995,0.513,0.284,0.168,0.031,0.005,0.526,0.688,0.409,0.28,0.25,0.0,0.659,,0.182,103,0.0,,0,0,wilcoch01,2007-2008,NBA
Damien Wilkins,SF,28,SEA,76,1843,0.403,14.6,0.77,0.198,0.098,0.158,0.316,0.23,0.427,0.511,0.394,0.358,0.418,0.323,0.421,0.9,0.036,21,0.368,0.368,1,0,wilkida02,2007-2008,NBA
Mike Wilks,PG,28,TOT,15,188,0.472,15.3,0.778,0.194,0.083,0.083,0.417,0.222,0.5,0.429,0.333,0.667,0.533,0.375,0.5,0.667,0.0,0,0.25,0.5,0,0,wilksmi01,2007-2008,NBA
Mike Wilks,PG,28,DEN,8,122,0.435,16.8,0.783,0.174,0.043,0.0,0.565,0.217,0.444,0.25,1.0,,0.462,0.4,0.75,1.0,0.0,0,0.4,0.5,0,0,wilksmi01,2007-2008,NBA
Mike Wilks,PG,28,WAS,4,44,0.5,19.3,0.5,0.0,0.25,0.0,0.25,0.5,0.5,,0.0,,1.0,0.5,1.0,0.0,0.0,0,0.0,,0,0,wilksmi01,2007-2008,NBA
Mike Wilks,PG,28,SEA,3,22,0.556,9.9,0.889,0.333,0.111,0.333,0.111,0.111,0.625,0.667,0.0,0.667,1.0,0.0,0.0,,0.0,0,0.0,,0,0,wilksmi01,2007-2008,NBA
Aaron Williams,C,36,LAC,30,297,0.491,5.6,1.0,0.436,0.309,0.164,0.091,0.0,0.491,0.458,0.588,0.556,0.2,,0.556,,0.073,3,,,0,0,williaa01,2007-2008,NBA
Deron Williams,PG,23,UTA,82,3059,0.507,11.9,0.812,0.38,0.066,0.073,0.293,0.188,0.533,0.616,0.486,0.469,0.45,0.395,0.34,0.639,0.016,15,0.057,0.417,5,0,willide01,2007-2008,NBA
Jason Williams,PG,32,MIA,67,1886,0.384,17.7,0.5,0.189,0.064,0.036,0.211,0.5,0.415,0.538,0.229,0.25,0.388,0.353,0.114,0.67,0.0,0,0.145,0.325,2,0,willija02,2007-2008,NBA
Justin Williams,C,23,TOT,23,123,0.448,3.1,1.0,0.621,0.31,0.069,0.0,0.0,0.448,0.5,0.444,0.0,,,0.308,,0.103,3,,,0,0,williju01,2007-2008,NBA
Justin Williams,C,23,SAC,22,117,0.462,2.9,1.0,0.654,0.269,0.077,0.0,0.0,0.462,0.529,0.429,0.0,,,0.25,,0.115,3,,,0,0,williju01,2007-2008,NBA
Justin Williams,C,23,HOU,1,6,0.333,5.1,1.0,0.333,0.667,0.0,0.0,0.0,0.333,0.0,0.5,,,,1.0,,0.0,0,,,0,0,williju01,2007-2008,NBA
Lou Williams,PG,21,PHI,80,1862,0.424,12.2,0.797,0.344,0.106,0.113,0.233,0.203,0.441,0.568,0.375,0.282,0.36,0.359,0.28,0.709,0.04,27,0.229,0.429,2,0,willilo02,2007-2008,NBA
Marcus Williams,PG,22,NJN,53,854,0.379,18.8,0.515,0.137,0.061,0.099,0.218,0.485,0.377,0.375,0.444,0.379,0.359,0.38,0.228,0.741,0.0,0,0.141,0.45,5,0,willima03,2007-2008,NBA
Marcus Williams,PF-SF,21,TOT,11,36,0.25,12.3,1.0,0.25,0.05,0.2,0.5,0.0,0.25,0.0,0.0,0.5,0.3,,0.4,,0.0,0,,,0,0,willima04,2007-2008,NBA
Marcus Williams,SF,21,SAS,1,2,0.0,19.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,willima04,2007-2008,NBA
Marcus Williams,PF,21,LAC,10,34,0.263,11.9,1.0,0.263,0.053,0.211,0.474,0.0,0.263,0.0,0.0,0.5,0.333,,0.4,,0.0,0,,,0,0,willima04,2007-2008,NBA
Marvin Williams,SF,21,ATL,80,2765,0.462,11.6,0.989,0.284,0.117,0.113,0.475,0.011,0.466,0.586,0.393,0.288,0.454,0.1,0.754,1.0,0.087,72,0.5,0.0,1,0,willima02,2007-2008,NBA
Mo Williams,PG,25,MIL,66,2410,0.48,15.3,0.749,0.22,0.067,0.143,0.319,0.251,0.512,0.525,0.5,0.489,0.515,0.385,0.224,0.798,0.0,0,0.203,0.426,5,0,willima01,2007-2008,NBA
Sean Williams,C,21,NJN,73,1278,0.538,4.0,1.0,0.59,0.233,0.134,0.043,0.0,0.538,0.611,0.408,0.488,0.385,,0.811,,0.246,61,,,0,0,willise01,2007-2008,NBA
