Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Dion Waiters,SG,28,LAL,7,165,17%,68%,15%,,,3.6,-2.3,8,3,2,2,7,1.0,45,4,3,waitedi01,2019-2020,NBA
Kemba Walker,PG,29,BOS,56,1742,100%,,,,,6.1,-0.7,56,49,53,1,88,34.0,643,18,64,walkeke02,2019-2020,NBA
Lonnie Walker IV,SG,21,SAS,61,988,3%,24%,73%,,,0.3,2.0,15,14,38,6,32,4.0,166,8,21,walkelo01,2019-2020,NBA
Tyrone Wallace,SG,25,ATL,14,160,89%,12%,,,,-10.4,-2.6,2,3,11,2,6,3.0,31,1,5,wallaty01,2019-2020,NBA
Derrick Walton,PG,24,TOT,26,248,82%,18%,,,,-2.4,-8.2,3,0,8,2,3,1.0,71,0,1,waltode01,2019-2020,NBA
Derrick Walton,PG,24,LAC,23,222,80%,20%,,,,-0.3,-7.2,3,0,7,1,3,0.0,58,0,1,waltode01,2019-2020,NBA
Derrick Walton,PG,24,DET,3,26,100%,,,,,-20.7,-16.7,0,0,1,1,0,1.0,13,0,0,waltode01,2019-2020,NBA
Brad Wanamaker,PG,30,BOS,71,1369,81%,19%,,,,5.5,-1.6,37,19,55,5,62,5.0,433,10,26,wanambr01,2019-2020,NBA
T.J. Warren,SF,26,IND,67,2202,,1%,67%,32%,,3.3,2.5,29,23,74,16,107,21.0,230,40,33,warretj01,2019-2020,NBA
P.J. Washington,PF,21,CHO,58,1759,,,,88%,12%,-6.9,0.6,43,25,98,13,69,5.0,310,17,40,washipj01,2019-2020,NBA
Yuta Watanabe,SF,25,MEM,18,105,,,29%,67%,5%,2.7,3.5,0,2,5,0,4,1.0,12,0,2,watanyu01,2019-2020,NBA
Tremont Waters,PG,22,BOS,11,119,100%,,,,,7.9,1.5,11,4,5,0,1,0.0,39,0,2,watertr01,2019-2020,NBA
Paul Watson,SF,25,TOT,10,87,5%,65%,23%,8%,,15.4,11.7,2,0,3,0,4,1.0,19,1,4,watsopa01,2019-2020,NBA
Paul Watson,SF,25,ATL,2,17,,21%,45%,35%,,22.1,30.2,0,0,1,0,0,0.0,8,0,1,watsopa01,2019-2020,NBA
Paul Watson,SF,25,TOR,8,70,7%,75%,17%,1%,,13.8,7.3,2,0,2,0,4,1.0,11,1,3,watsopa01,2019-2020,NBA
Quinndary Weatherspoon,SG,23,SAS,11,78,27%,69%,4%,,,-12.5,-11.6,3,1,3,0,0,0.0,29,0,2,weathqu01,2019-2020,NBA
Russell Westbrook,PG,31,HOU,57,2049,100%,,,,,2.8,-0.5,131,80,68,25,187,5.0,1014,46,81,westbru01,2019-2020,NBA
Coby White,PG,19,CHI,65,1674,39%,49%,12%,,,-4.6,-2.6,48,36,46,10,62,16.0,427,16,61,whiteco01,2019-2020,NBA
Derrick White,SG,25,SAS,68,1677,9%,84%,7%,,,0.5,3.2,48,24,84,4,94,53.0,555,26,27,whitede01,2019-2020,NBA
Hassan Whiteside,C,30,POR,67,2008,,,,,100%,2.6,8.0,33,38,114,27,115,10.0,191,44,39,whiteha01,2019-2020,NBA
Andrew Wiggins,SF,24,TOT,54,1858,,7%,83%,11%,,-5.4,0.3,48,52,84,16,133,3.0,493,35,56,wiggian01,2019-2020,NBA
