Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Silas,silasja01,197510290NYA,SAA,game,True,,5,18,.278,0,0,,5,6,.833,,,8,3,0,0,2,3,15,
George Karl,karlge01,197510290NYA,SAA,game,True,,1,8,.125,0,0,,0,0,,,,0,4,1,1,1,1,2,
Henry Ward,wardhe01,197510290NYA,SAA,game,False,,3,3,1.000,0,0,,0,0,,,,0,0,1,0,0,0,6,
Coby Dietrick,dietrco01,197510290NYA,SAA,game,False,,1,3,.333,0,0,,0,0,,,,6,2,2,0,2,1,2,
Bill Franklin,frankwi01,197510290NYA,SAA,game,False,,0,0,,0,0,,0,0,,,,0,0,0,0,0,0,0,
Mike Gale,galemi01,197510290NYA,SAA,game,False,,0,2,.000,0,0,,0,0,,,,0,2,0,0,3,1,0,
Ken Smith,smithke02,197510290NYA,SAA,game,False,,0,3,.000,0,0,,0,0,,,,0,0,1,0,1,1,0,
Julius Erving,ervinju01,197510290NYA,NYA,game,True,,18,25,.720,0,0,,3,5,.600,,,7,3,5,5,2,4,39,
Rich Jones,jonesri01,197510290NYA,NYA,game,True,,10,18,.556,0,0,,2,2,1.000,,,6,2,1,0,0,4,22,
Swen Nater,natersw01,197510290NYA,NYA,game,True,,4,9,.444,0,0,,2,2,1.000,,,20,1,2,0,5,4,10,
Al Skinner,skinnal01,197510290NYA,NYA,game,True,,5,7,.714,0,0,,0,0,,,,4,2,0,3,3,2,10,
John Williamson,willijo01,197510290NYA,NYA,game,True,,3,12,.250,0,0,,2,2,1.000,,,0,3,1,0,4,2,8,
Brian Taylor,taylobr01,197510290NYA,NYA,game,False,,5,10,.500,0,1,.000,5,5,1.000,,,2,3,4,1,1,1,15,
Tim Bassett,basseti01,197510290NYA,NYA,game,False,,2,6,.333,0,0,,0,0,,,,5,1,0,2,0,4,4,
Bill Melchionni,melchbi01,197510290NYA,NYA,game,False,,2,6,.333,0,0,,0,0,,,,1,5,1,0,1,1,4,
Kim Hughes,hugheki01,197510290NYA,NYA,game,False,,0,1,.000,0,0,,0,0,,,,1,0,0,0,0,0,0,
John Roche,rochejo01,197510290DNA,UTS,game,,,10,,,4,,,2,3,.667,,,,,,,,,26,
Ron Boone,boonero01,197510290DNA,UTS,game,,,6,,,1,,,7,7,1.000,,,,,,,,,20,
George Carter,cartege01,197510290DNA,UTS,game,,,5,,,0,,,7,12,.583,,,,,,,,,17,
Al Smith,smithal01,197510290DNA,UTS,game,,,3,,,1,,,6,10,.600,,,,,,,,,13,
Jim Eakins,eakinji01,197510290DNA,UTS,game,,,3,,,0,,,5,5,1.000,,,,,,,,,11,
Randy Denton,dentora01,197510290DNA,UTS,game,,,4,,,0,,,2,2,1.000,,,,,,,,,10,
Joe Hamilton,hamiljo01,197510290DNA,UTS,game,,,3,,,0,,,2,2,1.000,,,,,,,,,8,
Steve Green,greenst01,197510290DNA,UTS,game,,,2,,,0,,,1,3,.333,,,,,,,,,5,
Goo Kennedy,kennego01,197510290DNA,UTS,game,,,2,,,0,,,1,2,.500,,,,,,,,,5,
Ken Gardner,gardnke01,197510290DNA,UTS,game,,,1,,,0,,,0,0,,,,,,,,,,2,
David Thompson,thompda01,197510290DNA,DNA,game,,,11,,,0,,,6,10,.600,,,,,,,,,28,
Dan Issel,isselda01,197510290DNA,DNA,game,,,8,,,0,,,8,10,.800,,,,,,,,,24,
Ralph Simpson,simpsra01,197510290DNA,DNA,game,,,8,,,0,,,4,6,.667,,,,,,,,,20,
Bobby Jones,jonesbo01,197510290DNA,DNA,game,,,7,,,0,,,2,4,.500,,,,,,,,,16,
Byron Beck,beckby01,197510290DNA,DNA,game,,,5,,,0,,,3,3,1.000,,,,,,,,,13,
Claude Terry,terrycl01,197510290DNA,DNA,game,,,4,,,0,,,3,4,.750,,,,,,,,,11,
Chuck Williams,willich02,197510290DNA,DNA,game,,,2,,,0,,,6,6,1.000,,,,,,,,,10,
Roger Brown,brownro02,197510290DNA,DNA,game,,,0,,,0,,,0,0,,,,,,,,,,0,
Jimmy Foster,fosteja01,197510290DNA,DNA,game,,,0,,,0,,,0,0,,,,,,,,,,0,
Monte Towe,towemo01,197510290DNA,DNA,game,,,0,,,0,,,0,0,,,,,,,,,,0,
Dave Robisch,robisda01,197510290INA,SDS,game,True,46:00,8,16,.500,0,0,,8,8,1.000,,,16,6,,,,2,24,
