Player Name,Player Reference,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Game Reference,Team,Period
Alex Caruso,carusal01,True,33:23,.935,.900,.800,.400,0.0,16.6,9.2,20.7,2.9,8.8,14.5,9.2,167,109,10.5,202401130SAS,CHI,game
Coby White,whiteco01,True,32:14,.508,.462,.231,.308,0.0,5.7,3.2,16.1,0.0,3.0,0.0,20.4,115,124,-6.5,202401130SAS,CHI,game
Nikola Vučević,vucevni01,True,31:09,.655,.647,.294,.176,11.0,38.5,26.2,25.2,0.0,9.4,5.2,27.6,135,108,10.2,202401130SAS,CHI,game
Ayo Dosunmu,dosunay01,False,29:20,1.063,1.056,.333,.222,0.0,6.3,3.5,19.9,1.7,0.0,16.8,18.0,166,122,7.9,202401130SAS,CHI,game
Jevon Carter,carteje01,False,23:47,.583,.583,.750,.000,0.0,3.9,2.1,0.0,0.0,0.0,20.0,28.1,82,127,-12.6,202401130SAS,CHI,game
Andre Drummond,drumman01,False,16:51,.421,.429,.000,.429,27.1,32.9,30.3,7.6,2.9,5.8,0.0,22.0,116,105,-4.0,202401130SAS,CHI,game
Dalen Terry,terryda01,False,3:07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-15.9,202401130SAS,CHI,game
Torrey Craig,craigto01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130SAS,CHI,game
Terry Taylor,taylote01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130SAS,CHI,game
Patrick Williams,willipa01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130SAS,CHI,game
Devin Vassell,vassede01,True,33:51,.175,.115,.615,.231,0.0,13.5,6.0,7.5,1.4,0.0,12.3,20.5,43,125,-20.2,202401130SAS,SAS,game
Tre Jones,jonestr01,True,32:26,.959,.923,.462,.462,2.8,28.2,14.2,24.5,0.0,0.0,6.0,21.8,181,126,13.5,202401130SAS,SAS,game
Jeremy Sochan,sochaje01,True,31:10,.356,.333,.400,.067,11.8,11.0,11.5,9.4,0.0,0.0,6.1,22.4,91,129,-12.5,202401130SAS,SAS,game
Dominick Barlow,barlodo01,True,22:13,.425,.400,.000,.400,16.6,10.3,13.8,18.7,2.2,3.9,0.0,11.2,135,121,0.5,202401130SAS,SAS,game
Julian Champagnie,champju02,True,16:42,.475,.300,.600,.600,0.0,34.2,15.3,31.8,0.0,0.0,13.7,18.6,111,125,-2.6,202401130SAS,SAS,game
Keldon Johnson,johnske04,False,29:44,.781,.714,.357,.429,0.0,15.4,6.9,30.9,0.0,2.9,10.7,26.6,145,126,10.7,202401130SAS,SAS,game
Cedi Osman,osmande01,False,22:52,.900,.900,1.000,.000,0.0,10.0,4.5,6.4,2.1,0.0,0.0,9.3,170,124,0.7,202401130SAS,SAS,game
Malaki Branham,branhma01,False,21:43,.467,.467,.533,.000,0.0,5.3,2.4,8.6,6.7,0.0,6.3,31.3,88,115,-1.9,202401130SAS,SAS,game
Sandro Mamukelashvili,mamuksa01,False,18:10,.508,.500,.429,.286,15.2,31.5,22.5,8.5,2.7,9.4,0.0,18.4,125,111,-0.4,202401130SAS,SAS,game
Blake Wesley,weslebl01,False,11:09,.333,.333,.667,.000,0.0,10.2,4.6,37.2,0.0,0.0,0.0,11.4,113,129,-9.2,202401130SAS,SAS,game
Mamadi Diakite,diakima01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130SAS,SAS,game
Devonte' Graham,grahade01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130SAS,SAS,game
Paolo Banchero,banchpa01,True,36:22,.453,.421,.211,.368,5.9,18.1,12.4,37.1,0.0,4.6,8.3,29.0,104,115,2.4,202401130OKC,ORL,game
Caleb Houstan,houstca01,True,34:39,.538,.538,.923,.000,3.1,5.4,4.3,8.6,1.4,0.0,18.8,20.2,93,119,-1.7,202401130OKC,ORL,game
Goga Bitadze,bitadgo01,True,22:11,.667,.667,.167,.000,9.6,29.7,20.3,14.3,4.5,0.0,14.3,13.8,127,105,6.0,202401130OKC,ORL,game
Jalen Suggs,suggsja01,True,19:41,.563,.563,.375,.000,5.4,14.3,10.2,0.0,0.0,0.0,11.1,20.0,102,119,-6.2,202401130OKC,ORL,game
Chuma Okeke,okekech01,True,19:00,.417,.417,.833,.000,5.6,14.9,10.5,14.9,0.0,0.0,0.0,13.8,108,119,-1.5,202401130OKC,ORL,game
Anthony Black,blackan01,False,33:08,.611,.625,.125,.750,0.0,11.4,6.0,4.6,1.5,2.5,8.6,15.4,114,115,-0.5,202401130OKC,ORL,game
Cole Anthony,anthoco01,False,24:35,.589,.591,.273,.182,8.7,7.7,8.1,14.3,2.0,3.4,14.4,24.7,109,115,1.9,202401130OKC,ORL,game
Moritz Wagner,wagnemo01,False,18:13,.333,.333,.500,.000,0.0,20.7,11.0,15.6,0.0,4.5,33.3,21.6,55,114,-11.4,202401130OKC,ORL,game
